,Hit@1,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@10,std@30,std@50,std@100,std_MRR
phone-email_(edge-0.0),0.070,0.371,0.674,0.840,0.975,0.169,0.004,0.013,0.008,0.013,0.003,0.003
phone-email_(edge-0.1),0.052,0.332,0.641,0.805,0.950,0.149,0.008,0.012,0.009,0.007,0.009,0.006
phone-email_(edge-0.2),0.034,0.295,0.590,0.748,0.917,0.128,0.005,0.011,0.008,0.012,0.015,0.006
phone-email_(edge-0.3),0.032,0.259,0.542,0.700,0.890,0.115,0.005,0.009,0.022,0.020,0.010,0.005
phone-email_(edge-0.4),0.028,0.239,0.484,0.639,0.853,0.103,0.004,0.013,0.015,0.015,0.016,0.005
phone-email_(edge-0.5),0.027,0.212,0.428,0.596,0.824,0.093,0.003,0.013,0.014,0.011,0.015,0.006
phone-email_(edge-0.6),0.025,0.195,0.402,0.573,0.786,0.084,0.004,0.011,0.007,0.014,0.024,0.005
phone-email_(edge-0.7),0.025,0.170,0.385,0.547,0.751,0.078,0.003,0.010,0.009,0.009,0.014,0.003
phone-email_(edge-0.8),0.026,0.155,0.378,0.538,0.736,0.076,0.003,0.008,0.011,0.013,0.012,0.004
phone-email_(edge-0.9),0.023,0.149,0.368,0.513,0.700,0.072,0.003,0.009,0.011,0.017,0.025,0.002
foursquare-twitter_(edge-0.0),0.052,0.176,0.243,0.280,0.342,0.094,0.003,0.004,0.004,0.005,0.004,0.002
foursquare-twitter_(edge-0.2),0.032,0.115,0.182,0.215,0.263,0.061,0.002,0.005,0.007,0.007,0.007,0.002
foursquare-twitter_(edge-0.3),0.028,0.098,0.156,0.189,0.233,0.052,0.003,0.006,0.008,0.008,0.010,0.003
foursquare-twitter_(edge-0.4),0.024,0.090,0.144,0.172,0.218,0.047,0.005,0.005,0.005,0.004,0.007,0.003
foursquare-twitter_(edge-0.5),0.019,0.080,0.130,0.157,0.199,0.041,0.003,0.004,0.005,0.006,0.006,0.003
